"isbn","title","author","summary","pages","year","language","publisher","subjects","genres"
"978-3-7633-3133-8","Genusswandern mit der Münchner S-Bahn","Soeffker, Eduard","Neuauflage des attraktiven Wanderführers, Auflage 2017 (DSN 4161533, 17 Ex.) und Auflage 2015 (DSN 4027998, 22 Ex. ) zur Aktualisierung breit empfohlen, V051 - https://www.amazon.de/s?k=9783763331338&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss","183","2021","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-3152-9","ErlebnisWandern mit Kindern - Südtirol","Hirtlreiter, Gerhard","Neuaufl. des Wanderführers für Südtirol aus der Reihe Erlebniswandern mit Kindern...(nach ID),Ausg. 2018 (DSN 4290694) in 123 und Ausg. 2017 (DSN 4110488, 13x) können gerne aktualisiert - https://www.amazon.de/-/en/Gerhard-Hirtlreiter/dp/3763331522/ref=sr_1_1?crid=39LBBPCZ8CZQA&keywords=9783763331529&qid=1669709248&sprefix=9783763331529%2Caps%2C78&sr=8-1","255","2022","ger","Bergverlag Rother","Kind; Wandern","Führer"
"978-3-7633-4007-1","La Gomera","Wolfsperger, Klaus","Zuletzt auf Liste: 13. Aufl. 2016 (DSN 4107862, in 051,129,141,145,148,150; alle entliehen!). - V051/2 -  https://www.amazon.de/Gomera-sch%C3%B6nsten-K%C3%BCsten-Bergwanderungen-GPS-Daten/dp/3763340076/ref=sr_1_1?s=books&ie=UTF8&qid=1518700580&sr=1-1&keywords=9783763340071&dpID=61gS%252BP8qRsL&preST=_SY264_BO1,204,203,200_QL40_&dpSrc=srch","234","2018","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4044-6","Rund um den Vierwaldstätter See","Tubbesing, Ulrich","Die Vorauflage 2004 ist nur noch in 051 im Bestand; Wanderführer zur Region fehlen im Zweigstellenbestand! -  https://www.amazon.de/Vierwaldst%C3%A4tter-See-Entlebuch-GPS-Tracks-Wanderf%C3%BChrer/dp/3763340440/ref=sr_1_1?s=books&ie=UTF8&qid=1523441382&sr=1-1&keywords=9783763340446","141","2018","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4069-9","München - Venedig","Steuerwald, Dirk","Zu den beliebesten Routen für Alpenüberquerungen zählt die Strecke München-Venedig, die hier in 29 Etappen behandelt wird. Breit empfohlen, da sich keine Vorauflagen mehr im Zweigstellenbestand befinden. Der einzige aktuellere Vergleichstitel ist Lenz 2016 (DSN 4114003, 7x). -  https://www.amazon.de/M%C3%BCnchen-Marienplatz-Markusplatz-Varianten-Wanderf%C3%BChrer/dp/3763340696/ref=sr_1_1?s=books&ie=UTF8&qid=1535121688&sr=1-1&keywords=9783763340699","211","2018","ger","Bergverl. Rother","Überquerung; Wandern","Führer"
"978-3-7633-4120-7","Côte d'Azur","Anker, Daniel","Sehr gut genutzte Vorauflage nur in 051. Derzeit konkurrenzloser Wanderführer für die im Titel beschriebene Urlaubsregion; keine direkten Vergleichstitel im Zweigstellenbestand! -  https://www.amazon.de/Cote-dAzur-sch%C3%B6nsten-Bergwanderungen-Wanderf%C3%BChrer/dp/376334120X/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=9783763341207&qid=1596796575&s=books&sr=1-1","158","2020","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4122-1","Mallorca","Goetz, Rolf","Neuauflage des bewährten Wanderführers für die beliebte Sonneninsel, es werden Touren von leichten Strandspaziergängen bis hin zu schwierigen Klippen- und Schluchtenwanderungen vorgestellt, Wander- und Badeferien lassen sich so perfekt kombinieren, gerne vorrangig allen Wanderern empfohlen (nach ID),  Ausg. 2018 (DSN 4194192, 11x), Ausg. 2015 (DSN 4020230, 150), empfohlen - https://www.amazon.de/Mallorca-sch%C3%B6nsten-K%C3%BCsten-Bergwanderungen-GPS-Tracks/dp/3763341226/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=28XLW8WLB3HA4&keywords=9783763341221&qid=1648799730&sprefix=9783763341221%2Caps%2C65&sr=8-1","263","2022","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4134-4","Kitzbüheler Alpen","Brandl, Sepp","https://www.amazon.de/Kitzb%C3%BCheler-Alpen-Wildsch%C3%B6nau-Pillerseetal-Wanderf%C3%BChrer/dp/376334134X/ref=sr_1_1?s=books&ie=UTF8&qid=1500024001&sr=1-1&keywords=9783763341344","199","2017","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4169-6","Toskana Süd","Goetz, Rolf","V051 (2x)  https://www.amazon.de/Toskana-S%C3%BCd-Gimignano-GPS-Tracks-Wanderf%C3%BChrer/dp/3763341692/ref=sr_1_1?s=books&ie=UTF8&qid=1501242044&sr=1-1&keywords=9783763341696","175","2016","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4181-8","Brentagruppe","Hauleitner, Franz","https://www.amazon.de/Brenta-Presanella-Paganella-GPS-Tracks-Wanderf%C3%BChrer/dp/3763341811/ref=sr_1_1?ie=UTF8&qid=1496144544&sr=8-1&keywords=9783763341818","158","2017","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4191-7","Elbsandsteingebirge","Hasse, Franz","Bizarre Felstürme, schroffe Sandsteinwände, tiefe Schluchten und atemberaubende Panoramen - das Elbsandsteingebirge zählt zu den herausragenden Wanderregionen in Deutschland. Die schönsten Touren in der Sächsischen Schweiz, inklusive fünf lohnenswerter Radtouren und dem achttägigen »Malerweg«, stellt der Rother Wanderführer Elbsandsteingebirge vor. Das Tourenangebot reicht von beschaulichen Spaziergängen in den grünen Auenwäldern der Elbe bis zu bestens versicherten Steigen in der bizarren Türmewelt der Sandsteinfelsen (nach buchkatalog.de) V051 ist mehrfach vorgemerkt, daher auch als Superhitangebot - https://www.amazon.de/s?k=9783763341917&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss","167","2021","ger","Bergverlag Rother","Wandern; Wandern","Führer; Führer"
"978-3-7633-4200-6","Golf von Neapel","Wiegand, Jürgen","Weiterhin einziger Wanderführer zur im Titel beschriebenen Region; die 5. Auflage 2015 (DSN 4019503, 10x) ist noch brauchbar. -  https://www.amazon.de/Golf-von-Neapel-GPS-Tracks-Wanderf%C3%BChrer/dp/3763342001/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9783763342006&qid=1583406803&s=books&sr=1-1","198","2020","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4243-3","Rund um Salzburg","Brandl, Sepp","Zur Aktualisierung der 4. Auflage 2012 (DSN 3823273, 10x) und zur Auffrischung des Wanderführerbestands für die von München aus gut erreichbaren Regionen unseres Nachbarlandes. -  https://www.amazon.de/Rund-Salzburg-Flachgau-Rupertiwinkel-Wanderf%C3%BChrer/dp/3763342435/ref=sr_1_1?s=books&ie=UTF8&qid=1540553676&sr=1-1&keywords=9783763342433","192","2018","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4246-4","La Palma","Wolfsperger, Klaus","NB-Titel. 9.Aufl.2008, DS=3429851, 6 Ex., 12.Aufl.2012, DS=3813196, 051  https://www.amazon.de/Rother-Wanderf%C3%BChrer-Palma-Bergwanderungen-GPS-Tracks/dp/376334246X/ref=sr_1_1?ie=UTF8&qid=1488464305&sr=8-1&keywords=9783763342464","248","2017","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4257-0","Harz","Pollmann, Bernhard","Im System derzeit nur noch die noch gut brauchbare 10. Auflage 2018 (DSN 4237724, in 051,143,146). Zuletzt angeboten war ""Panoramawege Harz"" Bruckmann 2018 (DSN 4216890, 6x), ansonsten fehlen neuere Wanderführer für den Harz. -  https://www.amazon.de/Harz-sch%C3%B6nsten-H%C3%B6henwanderungen-GPS-Tracks-Wanderf%C3%BChrer/dp/3763342575/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=9783763342570&qid=1596799027&s=books&sr=1-1","132","2020","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4264-8","Zugspitze","Baumann, Franziska","TW","158","2022","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4276-1","Algarve","Halbartschlager, Franz","Zuletzt 2. Auflage 2011, DS 3758481 in 051; 123; 128; 143; 148. - V051 https://www.amazon.de/Algarve-sch%C3%B6nsten-Bergwanderungen-GPS-Daten-Wanderf%C3%BChrer/dp/3763342761/ref=sr_1_1?s=books&ie=UTF8&qid=1516790345&sr=1-1&keywords=9783763342761","206","2018","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4280-8","Wanderungen auf Korsika","Wolfsperger, Klaus","https://www.amazon.de/Korsika-sch%C3%B6nsten-K%C3%BCsten-Bergwanderungen-GPS-Tracks/dp/376334280X/ref=sr_1_1?s=books&ie=UTF8&qid=1516952715&sr=1-1&keywords=9783763342808","237","2018","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4281-5","Fränkische Schweiz mit Oberem Maintal und Hersbrucker Schweiz","Köhler, Anette","Muss zwingend die Vorauflagen 2003 (DSN 3185629, in 143) und 1995 (DSN 73038, in 501) ersetzen. Besonders empfohlen, wo der Bruckmann-Titel von Wengel 2016 (DSN 4112388, 11x) fehlt. -  https://www.amazon.de/Fr%C3%A4nkische-Schweiz-Hersbrucker-GPS-Tracks-Wanderf%C3%BChrer/dp/3763342818/ref=sr_1_1?s=books&ie=UTF8&qid=1535121273&sr=1-1&keywords=9783763342815","142","2018","ger","Bergverl. Rother","Wandern; Wandern","Führer; Führer"
"978-3-7633-4302-7","Lanzarote","Goetz, Rolf","Zum Ersatz der Auflage 2005 (DSN 3239087, in 133,143); ansonsten keine Wanderführer zu Lanzarote im Zweigstellenbestand! -  https://www.amazon.de/Lanzarote-sch%C3%B6nsten-Vulkanwanderungen-GPS-Daten-Wanderf%C3%BChrer/dp/3763343024/ref=sr_1_1?s=books&ie=UTF8&qid=1523440984&sr=1-1&keywords=9783763343027","135","2018","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4303-4","Fuerteventura","Goetz, Rolf","Zuletzt 3. Auflage 2011, DS 3749138 in 051; 123; 132; 141; 143; 145; 146; 148. - V051 https://www.amazon.de/Fuerteventura-sch%C3%B6nsten-Bergwanderungen-GPS-Tracks-Wanderf%C3%BChrer/dp/3763343032/ref=sr_1_1?s=books&ie=UTF8&qid=1519043281&sr=1-1&keywords=9783763343034","126","2017","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4306-5","Languedoc, Roussillon","Anker, Daniel","Außer der extrem gut genutzten Vorauflage 2011 (DSN 3401603, in 051,128,143,146) finden sich keine Vergleichstitel im System! -  https://www.amazon.de/Languedoc-Roussillon-Touren-Mit-GPS-Tracks/dp/3763343067/ref=sr_1_1?s=books&ie=UTF8&qid=1540554460&sr=1-1&keywords=9783763343065","176","2019","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4322-5","Auvergne","Forst, Bettina","Konkurrenzloser Wanderführer für das im Titel genannte Gebiet zum Ersatz der Auflage 2005 (DSN 3270075, in 051,143). -  https://www.amazon.de/Auvergne-Central-Touren-GPS-Tracks-Wanderf%C3%BChrer/dp/3763343229/ref=sr_1_1?s=books&ie=UTF8&qid=1523632772&sr=1-1&keywords=9783763343225&dpID=618jmIW-B1L&preST=_SY264_BO1,204,203,200_QL40_&dpSrc=srch","150","2018","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4329-4","Chiemsee","Hirtlreiter, Gerhard","Vorauflagen nicht im Zweigstellenbestand; Anschaffung zur Befriedigung der gestiegenen Nachfrage und zum Ersatz älterer Vergleichstitel sinnvoll. -  https://www.amazon.de/Chiemsee-zwischen-Rosenheim-Salzburg-Touren/dp/3763343296/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=9783763343294&qid=1600938981&s=books&sr=1-1","190","2020","ger","Rother","Wandern; Wandern","Führer; Führer"
"978-3-7633-4367-6","Azoren","Martin, Roman","Der Rother Wanderführer ""Azoren"" bietet mit 77 Touren eine umfassende Auswahl an Wanderungen auf allen Inseln. Gemütliche Spaziergänge führen entlang der Küste, anspruchsvolle Bergtouren auf den Pico, den höchsten Gipfel Portugals. Jede Tour enthält einen Überblick über alle wichtigen Infos, eine präzise Wegbeschreibung, einen Kartenausschnitt mit eingezeichnetem Routenverlauf und ein aussagekräftiges Höhenprofil. Zudem stehen auf der Internetseite des Bergverlag Rother für alle Touren GPS-Tracks zum Download bereit. Mit vielen weiteren Tipps liefert das Buch alle nötigen Informationen für einen gelungenen Wanderurlaub auf den Azoren. Nach (buchkatalog.de) 2.Aufl.2010, DS=3725808, 051. TW 117  http://www.amazon.de/Azoren-sch%C3%B6nsten-Bergwanderungen-GPS-Tracks-Wanderf%C3%BChrer/dp/3763343679/ref=sr_1_1?ie=UTF8&qid=1441696126&sr=8-1&keywords=9783763343676","262","2015","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4371-3","Korfu","Geith, Christian","Zuletzt 2. Auflage 2011, DS 3802798  in 051; 123; 143; 146; 148. - V051 https://www.amazon.de/Korfu-Diapontischen-Inseln-GPS-Tracks-Wanderf%C3%BChrer/dp/3763343717/ref=sr_1_1?s=books&ie=UTF8&qid=1519040622&sr=1-1&keywords=9783763343713","134","2018","ger","Bergverl. Rother","Wandern; Wandern; Führer","Führer"
"978-3-7633-4403-1","Kalabrien","Sänger, Dorothee","Aktualisierter Wanderführer in der gewohnten Reihenqualität zu einer selten behandelten aber offensichtlich gefragten Region (ein Uralttitel in 056 hat schon über 130 Entl. angesammelt und wird weiterhin ausgeliehen); die Erstauflage ist nicht im Bestand. - V051 -  https://www.amazon.de/Kalabrien-Stiefelspitze-Aspromonte-GPS-Tracks-Wanderf%C3%BChrer/dp/3763344039/ref=sr_1_1?s=books&ie=UTF8&qid=1523624135&sr=1-1&keywords=9783763344031&dpID=51GQRWP8jtL&preST=_SY264_BO1,204,203,200_QL40_&dpSrc=srch","222","2018","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4425-3","Ostseeküste Schleswig-Holstein","Pollmann, Bernhard","Derzeit konkurrenzloser Wanderführer für den Landesteil zwischen Flensburg und Lübeck (gut genutzte Vorauflage nur in 051) -  https://www.amazon.de/Ostseek%C3%BCste-Schleswig-Holstein-Touren-GPS-Tracks-Wanderf%C3%BChrer/dp/376334425X/ref=sr_1_1?s=books&ie=UTF8&qid=1531837391&sr=1-1&keywords=9783763344253","160","2018","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4442-0","Kreta","Goetz, Rolf","https://www.amazon.de/Kreta-sch%C3%B6nsten-K%C3%BCsten-Bergwanderungen-Wanderf%C3%BChrer-ebook/dp/B01MSBPOYB/ref=sr_1_1?ie=UTF8&qid=1500022308&sr=8-1&keywords=9783763344420","262","2017","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4444-4","Bozen - Kaltern","Dumler, Helmut","Zum Ersatz der angesichts der sehr hohen Nutzung vermutlich überall verbrauchten Vorauflage 2006 (DSN 3327699, in 051,118,128,129,143,150); ansonsten kaum neuere Vergleichstitel für das Wandern rund um Bozen im System. -  https://www.amazon.de/Bozen-Sarntaler-Mendelkamm-GPS-Tracks-Wanderf%C3%BChrer/dp/3763344446/ref=sr_1_1?s=books&ie=UTF8&qid=1531925556&sr=1-1&keywords=9783763344444","192","2018","ger","Bergverl. Rother","Wandern","Führer"
"978-3-7633-4446-8","Peloponnes","Engel, Hartmut","https://www.amazon.de/Peloponnes-sch%C3%B6nsten-Bergwanderungen-GPS-Tracks-Wanderf%C3%BChrer/dp/3763344462/ref=sr_1_1?ie=UTF8&qid=1496141521&sr=8-1&keywords=9783763344468","174","2017","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4459-8","Gran Canaria","Gawin, Izabella","Wanderführer zu den Kanarischen Inseln erfreuen sich großer Beliebtheit, von daher kann die aktualisierte Neuauflage des bewährten Führers zu Gran Canaria (Vorauflage mit sehr hoher Nutzung derzeit nur in 051) auch neben dem kürzlich angebotenen Vergleichstitel des Kompass-Verlags (DSN 4230672, 11x) zur breiteren Systemabdeckung nachdrücklich empfohlen werden. -  https://www.amazon.de/Gran-Canaria-Bergwanderungen-GPS-Tracks-Wanderf%C3%BChrer/dp/3763344594/ref=sr_1_1?s=books&ie=UTF8&qid=1544609574&sr=1-1&keywords=9783763344598","239","2019","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4465-9","England Süd","Gilcher, Sabine","Die noch gut brauchbare Erstauflage 2015 (DSN 4034461, in 051,112,123,141,143,145,146,148) wurde für die aktuelle Neuauflage um 30 Seiten erweitert, ansonsten fehlen vergleichbare Wanderführer für Südengland. - V051/2 -  https://www.amazon.de/England-S%C3%BCd-Zwischen-GPS-Tracks-Wanderf%C3%BChrer/dp/3763344659/ref=sr_1_1?s=books&ie=UTF8&qid=1540553052&sr=1-1&keywords=9783763344659","190","2018","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-4483-3","Berchtesgadener Land","Bauregger, Heinrich","https://www.amazon.de/Rother-Wanderf%C3%BChrer-Berchtesgadener-Land-H%C3%B6henwanderungen/dp/3763344837/ref=sr_1_1?ie=UTF8&qid=1498576583&sr=8-1&keywords=9783763344833","135","2017","ger","Bergverlag Rother","Wandern","Führer"
"978-3-7633-8087-9","Klettersteigatlas Alpen","Werner, Paul","https://www.amazon.de/Klettersteigatlas-Alpen-Klettersteige-Wienerwald-Selection/dp/3763380876/ref=sr_1_1?ie=UTF8&qid=1496157053&sr=8-1&keywords=9783763380879","494","2017","ger","Bergverl. Rother","Klettersteig","Führer"
"978-3-7651-0261-5","Harmonielehre im Selbststudium","Krämer, Thomas","Dieses Buch ermöglicht es, sich selbständig mit der Harmonielehre zu befassen und bietet Aufgabenstellungen mit Lösungen. Es ist zwar kein aktueller Titel, doch die 5. Aufl. zeigt, dass Nachfrage vorhanden ist. Ergänzt den Bestand in diesem Bereich sinnvoll. V005, TW 117&#160;  http://www.buch.de/shop/home/suche/;jsessionid=5CB57187F9A72AB3BAE51930CF12FF42.tc3p?sswg=ANY&sq=%09Harmonielehre+im+Selbststudium+Thomas+Kr%E4mer+&timestamp=1395847001217","216","2013","ger","Breitkopf & Härtel","Harmonielehre; Selbststudium; Harmonik","Aufgabensammlung"
"978-3-7654-5109-6","Jakobsweg","Pönitz, Hartmut","Aus der Fülle der Jakobsweg-Titel, die in der letzten Zeit erschienen sind, hebt sich dieser ansprechende Band aus der Bruckmann-Reihe in Form umd Inhalt ab. In mittelgroßem Format und ausgestattet mit zahlreichen attraktiven Fotos stellt dieses Buch eine Mischung aus mit Hintergrundinformationen angereichertem Erlebnisbericht, anschaulichem Wanderführer und allgemeiner Einstimmung auf das Phänomen ""Jakobsweg"" dar. In 28 Etappen von den Pyrenäen bis nach Santiago de Compostela begleitet es eine Wandergruppe auf ihrem Weg, stellt neben den detaillierten Streckenbeschreibungen (mit Kartenskizzen) Informationen zu Unterkünften, Touristenbüros, landschaftlichen Highlights, usw. zusammen und erzählt aufunterhaltsame Weise von den Erlebnissen und Begebenheiten wie auch vom Alltag der Pilger. (ID, gekürzt). Attraktive Ergänzung zu Drouve DSN 3266988 8 Ex und Höllhuber DSN 3428425 19 Ex. (Englische Broschur) V051","288","2009","ger","Bruckmann","Wandern","Führer"
"978-3-7654-5969-6","Alpencross Light","Stürzl, Mario","Der Autor hat Touren mit Schwerpunkt Bayern, Österreich, Südtirol zusammengestellt, die auch von weniger geübten Fahrern auf dem Mountainbike gewagt werden können. Zu jeder Route wird ein Schwierigkeitsgrad angegeben. Im Anhang können per ""Baukasten"" auch eigene Strecken zusammengestellt werden.","190","2014","ger","Bruckmann","Überquerung; Mountainbiking","Führer"
"978-3-7654-8504-6","Kalifornien","Landwehr, Marion","Reihenfortsetzung. Bei Bedarf zusätzlich zum kürzlich angebotenen DuMont-Reise-Handbuch von Braunger (DSN 4189659, 17x) - https://www.amazon.de/Reisef%C3%BChrer-Kalifornien-Geheimtipps-Insidertipps-Nationalparks/dp/3765485047/ref=sr_1_1?s=books&ie=UTF8&qid=1519978286&sr=1-1&keywords=9783765485046","288","2018","ger","Bruckmann","","Führer"
"978-3-7654-8763-7","BR-Radltour - Unsere Lieblingstouren","Bäucker, Lutz","Seit 1990 veranstaltet der BR jeden Sommer eine Radltour: anfangs ein spannender Versuch, inzwischen eine Institution. Alljährlich sind rund 1300 Teilnehmer dabei, wenn es in sechs bis acht Etappen auf einer eigens abgesteckten Route quer durch Bayern geht. BR-Sportreporter Lutz Bäucker hat viele Touren live miterlebt, weiß von amüsanten Anekdoten entlang der Strecken zu berichten. Es werden ausgewählte Abschnitte zum Nachradeln vorgeschlagen. (buchkatalog.de) Zur Zeit findet die 25. BR-Radltour statt. Daher sicher Nachfrage!   http://www.amazon.de/BR-Radltour-Lieblingstouren-Anekdoten-Tourenbeschreibungen-Geschichten/dp/3765487635/ref=sr_1_1?ie=UTF8&qid=1407149965&sr=8-1&keywords=9783765487637","144","2014","ger","Franz Bruckmann","Radwandern","Führer"
"978-3-7655-4250-3","Evas Geschichte","Schloss, Eva","Eindringlicher Bericht vom Überleben einer Fünfzehnjährigen in Auschwitz, die anders als ihre Stiefschwester Anne Frank das KZ überlebte. Nach ihrer Flucht aus Wien wohnt Eva mit ihrer jüdischen Familie in Amsterdam in derselben Straße wie Anne Frank. Nach dem Einmarsch der Deutschen taucht Evas Familie unter. Aber sie werden verraten. 1. Aufl. v. 1991 natürlich nicht mehr in d. Bibl.. Jetzt ist eine Neuauflage erschienen!     http://www.amazon.de/Evas-Geschichte-Franks-Stiefschwester-erz%C3%A4hlt/dp/3765542504/ref=sr_1_1_twi_1_pap?s=books&ie=UTF8&qid=1428479696&sr=1-1","272","2015","ger","Brunnen-Verl.","Weibliche Gefangene","Autobiographie 1938-1945; Erlebnisbericht"
"978-3-7655-6217-4","Die Mäuse und der Glitzerstern","Butler, M. Christina","Die beiden Mäusemädchen sind beste Freundinnen - die mutige Mimi und die vorsichtige Lilly. Als sie eines Nachts eine Sternschnuppe direkt in den See fallen sehen, folgen sie ihr. Eine abenteuerliche Bootsfahrt beginnt. Die Mäuse kämpfen mit der Strömung und als die beiden sich streiten, wer denn nun einen Wunsch frei hat, verlieren sie auch noch ihr Paddel. Sie treffen eine freundliche Maus, die ihnen helfen will und einen gemeinen Frosch, der ihnen zunächst den Stern vor der Nase wegschnappen will, dann aber in Not gerät und von den Mäusen gerettet wird. Am Ende der Geschichte, funkeln über dem See funkeln 1.000 Sterne und Lilly wünscht sich, dass sie für immer Freunde bleiben. Ein Buch über Freundschaft, Gemeinsamkeit, Streit, Versöhnung, die Kunst des Teilens und des Helfens. Die Illustrationen sind mit feinem Strich gezeichnet und zart koloriert. Die Sterne glitzern (auch auf dem Cover).","32","2020","ger","Brunnen-Verl.","Maus; Suche; Stern","Bilderbuch"
"978-3-7658-2041-0","14 - Tagebücher des Ersten Weltkriegs","Dedio, Gunnar","Aus Anlass des 100. Jahrestags des Kriegsausbruchs zeichnet die Fernsehserie in vier Filmen à 45 Minuten für ""Das Erste"" und acht Filmen à 52 Minuten für Arte ein neues Bild dieser ""Urkatastrophe"" des 20. Jahrhunderts. Sie erzählt nicht die Geschichte des Kriegsverlaufs, sondern die Geschichte von 14 ausgesuchten Protagonisten aus verschiedenen Ländern, die ihre Erlebnisse in Tagebüchern und Feldpostbriefen festgehalten haben. Es wird deutlich, wie sich Stimmungen, Überzeugungen, Ansichten der Menschen auf diesen Krieg ausgewirkt haben, wie sich ihr Denken und Handeln durch den Krieg veränderte und welche Folgen dies hatte. So ist zum ersten Mal im Fernsehen eine Mentalitätsgeschichte des Ersten Weltkriegs entstanden. Buch erscheint am 31. März - TV-Start am 29. April!&#160;   http://www.amazon.de/eindrucksvolle-Dokumentation-Ersten-Weltkriegs-gegeben/dp/3765820415/ref=sr_1_1?s=books&ie=UTF8&qid=1393251871&sr=1-1","320","2014","ger","C. J. Bucher","Weltkrieg <1914-1918>","Erlebnisbericht"
"978-3-7663-6330-5","Mobbing und psychische Gewalt","Esser, Axel","Vorbeugung und Bewältigung von Mobbing am Arbeitsplatz.","368","2015","ger","Bund-Verl.","Mobbing; Mobbing; Arbeitswelt","Ratgeber"
"978-3-7663-6624-5","Arbeitsrecht","Däubler, Wolfgang","Verständlicher Leitfaden mit Hinweisen auf Gesetze und Rechtsprechung sowie Praxistipps für Nichtjuristen.","608","2017","ger","Bund-Verlag","Arbeitsrecht; Arbeitsrecht","Ratgeber"
"978-3-7679-1218-2","Sportmassage","Meyer, Thomas","Nach der Begriffsdefinition werden die Voraussetzungen zur Durchführung von Sportmassagen erläutert. Es folgen praktische Anleitungen zur Selbstmassage, zur Partnermassage und zur Sportmassage.","159","2017","ger","Copress-Verl.","Sportmassage; Sportmassage","Ratgeber"
"978-3-7698-1271-8","Kinder feiern Fasching, Fastnacht, Karneval","Pertler, Cordula","Anregungen, Spiel- und Dekorationsideen für Karnevals- oder Faschingsfeste.","81","2008","ger","Don Bosco","Fastnacht; Vorschulerziehung; Fastnacht; Vorschulerziehung; Fastnacht; Kinderfest; Ratgeber","Ratgeber"
"978-3-7698-1760-7","Im Morgenkreis Advent feiern","Seggewiß, Swana","Reizvolle Ideenfundgrube für morgendliche Rituale im Stuhlkreis: Für jede Woche gibt es eine weihnachtliche Geschichte, die jeweils den Ausgangspunkt bildet für Gespräche, Spiel- und Bastelaktionen und dazu passende Lieder. Für Kinder im Alter von 3 bis 6 Jahren. Die beiliegende CD mit weihnachtlichen Liedern von Martin Göth lädt zum Mitsingen ein und eröffnet als leise Untermalung den Morgenkreis. V051","106","2009","unb","Don Bosco","Advent; Kindergarten; Adventslied; Kinderlied; Lied; Weihnachtslied; Kinderlied; Lied","Musiktonträger <für Kinder>; Musiktonträger <für Kinder>"
"978-3-7698-1771-3","KliKlaKlanggeschichten zur Herbst- und Lichterzeit","Gulden, Elke","Die Autorin entwickelt Ideen, Verse und kurze Geschichten, die Kinder dazu einladen sollen, diese Situationen mit Orff-Instrumenten in Klänge umzusetzen und so ihre kreativ-musischen Fähigkeiten zu entwickeln.","114","2014","ger","Don Bosco","Musikinstrument; Klangerzeugung; Musikerziehung; Kindergarten; Herbst; Orff-Instrument; Musikerziehung; Vorschulerziehung","Beispielsammlung"
"978-3-7698-1840-6","Mit Händen und mit Füßen will ich den Tag begrüßen","Gnettner, Ingrid","Der mit liebevollen Illustrationen gestaltete Ratgeber enthält kreativ-fröhliche Anregungen für ErzieherInnen und KinderpflegerInnen: jede Menge Bewegungsverse, Fingerspiele und altersgerechte Bewegungsideen für die Altersstufe 6 Monate bis 4 Jahre. Neben aktuell Biermann (DSN 3194797, 19x) und Kohlhepp (DSN 3533607, 20x). V051","93","2016","ger","Don-Bosco-Verl.","Kleinstkind; Fingerspiel; Erziehung; Kleinkind; Fingerspiel; Erziehung","Ratgeber; Ratgeber"
