"isbn","title","author","summary","pages","year","language","publisher","subjects","genres"
"3-401-04547-4","Hexe Lilli bei den Piraten","Knister","Lilli schafft es, sich auf ein altes Piratenschiff zu hexen.","106","2005","ger","Arena","Hexe; Seeräuber","Kinderbuch"
"3-401-04551-2","Hexe Lilli und der Weihnachtszauber","Knister","Hexe Lilli ist mit der allgemeinen Vorweihnachtsstimmung nicht zufrieden. Da muß dringend etwas geändert werden.","90","2004","ger","Arena","Hexe; Weihnachten","Kinderbuch"
"3-401-04569-5","Hexe Lilli im Fußballfieber","Knister","Hexe Lilli verliebt sich in den besten Fußballer der Schule.","118","2005","ger","Arena","Hexe; Fußball","Kinderbuch"
"3-401-04926-7","Küss mich - jetzt!","Bieniek, Christian","Axel, genannt Deo, findet alle Frauen in seiner Umgebung anziehend - Hauptsache, sie tragen kurze Röcke. Am meisten mag er Nadja aus der Parallelklasse. Die ahnt jedoch nichts von seinen Gefühlen.","169","1999","ger","Arena","Junge; Pubertät","Jugendbuch"
"3-401-07368-0","Die Spur führt zum Moor","Reichenstetter, Friederun","Kathi, Ria und Miriam stoßen auf die Spur eines unheimlichen Katzenjägers.","95","1997","unb","Ed. Bücherbär","Kriminalfall","Kinderbuch"
"3-401-07511-X","Jagd auf den goldenen Panther","Reichenstetter, Friederun","Beim Besuch einer ägyptischen Ausstellung geraten Kathi, Ria, Miriam und Krypto mitten in einen Raubüberfall, bei dem ein wertvoller Kunstgegenstand gestohlen wird. Die Freunde machen sich auf die gefährliche Suche nach dem Täter.","95","1998","unb","Ed. Bücherbär","Raubüberfall","Kinderbuch"
"3-401-08123-3","Im Frühling und zur Osterzeit","Michels, Tilde","Frühlingserinnerungen von Opa Ohle, Ostererlebnisse der Kinder ""von heute"", Aufklärung über Frühlings- und Osterbräuche von der Fastenzeit bis zum Maibaum, dazu einige Ostergeschichten.","85","2002","ger","Edition Bücherbär","Frühjahr; Ostern; Frühjahr; Ostern","Anthologie; Kinderbuch; Anthologie; Kinderbuch; Anthologie; Kinderbuch"
"3-404-10040-9","Sinuhe der Ägypter","Waltari, Mika","Roman über den Arzt am Hof des Pharaos Echnaton.","751","2004","ger","Bastei Lübbe","","Fiktionale Darstellung"
"3-404-12586-X","Der Meister des siebten Siegels","Soyener, Johannes K.","Historischer Roman über den Geschützgiesser Adam Dreyling und die Geheimnisse des Bronzegeschützgusses im 16. Jahrhundert.","1118","1997","ger","Lübbe","","Fiktionale Darstellung"
"3-405-14428-0","Richtig Tanzen","Krombholz, Gertrude","Nachbeschaffung. Vorauflage 1989 in 05 und 14 Bibliotheken vorhanden. Große Nachfrage. In 05 als Vorlaufexemplar vorhanden.","159","2001","unb","BLV","Lateinamerikanische Tänze; Lateinamerikanische Tänze","Einführung"
"3-405-16799-X","Bauchtanz","Kaiblinger-Ickert, Monika","Vorauflage 1999 in 005 vorh. - Es werden 10 Unterrichtseinheiten als Grundkurs Bauchtanz geboten. Ergänzend gibt es Aufwärmübungen, Tipps zur Kleidung und praktische Hinweise für die Praxis. Diesmal wurde eine Übungs-CD mit Musikbeispielen verschiedener Tempi und Stimmungen beigefügt. Der Titel kann zum Erlernen der wichtigsten Schritte, Bewegungsfolgen und Basis-Kombinationen des orientalischen Tanzes empfohlen werden. (nach ID).","95","2005","ger","BLV","Bauchtanz","CD"
